
<!-- saved from url=(0034)http://fx.sauder.ubc.ca/cgi/fxdata -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><style type="text/css"></style></head><body><pre style="word-wrap: break-word; white-space: pre-wrap;">"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2452760,"2003/04/30","Wed",0.0029624,0.216887,0.00165865,1.4335,0.89409,119.07,0.62489,1.3545,1.5970,7.7991,1.7861,1214.83,10.306
2452761,"2003/05/01","Thu",,,,1.4188,0.88975,118.54,0.62097,1.3432,1.5826,7.7989,1.7791,1212.65,10.237
2452762,"2003/05/02","Fri",0.0029453,0.211329,0.00165871,1.4223,0.89284,119.11,0.62412,1.3478,1.5869,7.7991,1.7757,1212.53,10.196
2452765,"2003/05/05","Mon",0.0029242,0.209422,0.00166144,1.4132,0.88713,118.63,0.62256,1.3437,1.5760,7.7990,1.7758,1212.01,10.182
2452766,"2003/05/06","Tue",0.0029156,0.208776,0.00160487,1.4082,0.88068,117.90,0.61953,1.3336,1.5662,7.7991,1.7526,1199.49,10.256
2452767,"2003/05/07","Wed",0.0029370,0.212074,0.00158187,1.4009,0.88179,116.51,0.62781,1.3261,1.5712,7.7991,1.7666,1198.37,10.218
2452768,"2003/05/08","Thu",0.0028767,0.208986,0.00157440,1.3952,0.87309,116.62,0.62366,1.3175,1.5573,7.7989,1.7416,1197.60,10.177
2452769,"2003/05/09","Fri",0.0028710,0.209385,0.00156315,1.3927,0.86962,117.21,0.62316,1.3116,1.5507,7.7990,1.7348,1201.64,10.107
2452772,"2003/05/12","Mon",0.0028611,0.209356,0.00151564,1.3887,0.86523,116.92,0.62126,1.3106,1.5427,7.7990,1.7234,1190.99,10.189
2452773,"2003/05/13","Tue",0.0028635,0.207404,0.00154300,1.3898,0.86944,116.56,0.62103,1.3166,1.5477,7.7991,1.7377,1195.01,10.145
2452774,"2003/05/14","Wed",0.0028295,0.206058,0.00151581,1.3787,0.86962,116.17,0.61867,1.3154,1.5441,7.7986,1.7382,1197.83,10.137
2452775,"2003/05/15","Thu",0.0028260,0.208538,0.00151487,1.3761,0.87277,115.89,0.61502,1.3133,1.5551,7.7993,1.7435,1196.61,10.269
2452776,"2003/05/16","Fri",0.0028089,0.208794,0.00153355,1.3667,0.86632,116.02,0.61569,1.3104,1.5377,7.7992,1.7311,1199.91,10.362
2452780,"2003/05/20","Tue",0.0027241,0.210047,0.00151489,1.3446,0.85567,116.76,0.60985,1.2935,1.5219,7.7990,1.7053,1200.53,10.256
2452781,"2003/05/21","Wed",0.0027093,0.211793,0.00149623,1.3495,0.85411,117.23,0.60895,1.2904,1.5240,7.7990,1.7130,1194.25,10.262
2452782,"2003/05/22","Thu",0.0027078,0.215032,0.00149562,1.3682,0.85465,117.25,0.61165,1.2938,1.5180,7.7990,1.7130,1194.93,10.249
2452783,"2003/05/23","Fri",0.0027187,0.216426,0.00150569,1.3775,0.84827,116.86,0.61062,1.2925,1.5194,7.7987,1.7146,1194.71,10.234
2452786,"2003/05/26","Mon",,,,1.3744,0.84278,116.83,0.60990,1.2877,1.5167,7.7988,1.7124,1199.30,10.249
2452787,"2003/05/27","Tue",0.0027343,0.217707,0.00146838,1.3746,0.84352,117.13,0.60969,1.2850,1.5176,7.7987,1.7125,1198.43,10.373
2452788,"2003/05/28","Wed",,,,1.3866,0.85146,118.72,0.61148,1.2987,1.5417,7.7983,1.7380,1200.52,10.410
2452789,"2003/05/29","Thu",0.0027567,0.220758,0.00156607,1.3769,0.84504,118.45,0.60654,1.2894,1.5433,7.7984,1.7365,1206.75,10.339
2452790,"2003/05/30","Fri",,,,1.3708,0.85000,119.48,0.60989,1.3023,1.5338,7.7987,1.7328,1205.63,10.338
2452793,"2003/06/02","Mon",0.0027339,0.220687,0.00156308,1.3695,0.85141,118.53,0.61095,1.2972,1.5232,7.7987,1.7224,1202.37,10.246
2452794,"2003/06/03","Tue",,,,1.3758,0.85432,119.26,0.61428,1.3128,1.5157,7.7986,1.7275,1201.57,10.267
2452795,"2003/06/04","Wed",0.0027495,0.223114,0.00151532,1.3574,0.85403,118.59,0.61213,1.3125,1.5015,7.7986,1.7217,1200.18,10.368
2452796,"2003/06/05","Thu",0.0027126,0.222587,0.00151344,1.3401,0.84241,117.61,0.60240,1.2969,1.4983,7.7985,1.7201,1199.73,10.560
2452797,"2003/06/06","Fri",0.0027533,0.221601,0.00153422,1.3540,0.85512,118.84,0.60180,1.3233,1.5176,7.7987,1.7292,1200.36,10.494
2452800,"2003/06/09","Mon",0.0027645,0.221938,0.00152850,1.3584,0.85156,118.08,0.60765,1.3123,1.5188,7.7983,1.7389,1195.78,10.727
2452801,"2003/06/10","Tue",0.0028332,0.224080,0.00153170,1.3648,0.85567,117.69,0.60507,1.3188,1.5224,7.7986,1.7417,1194.05,10.724
2452802,"2003/06/11","Wed",0.0028080,0.223509,0.00154383,1.3529,0.84992,117.68,0.59964,1.3059,1.5046,7.7989,1.7294,1195.14,10.613
2452803,"2003/06/12","Thu",0.0028348,0.223046,0.00154137,1.3489,0.84975,117.65,0.59932,1.3099,1.5035,7.7990,1.7263,1193.72,10.562
2452804,"2003/06/13","Fri",0.0028172,0.219519,0.00150949,1.3361,0.84531,117.47,0.59963,1.3047,1.4982,7.7991,1.7222,1191.88,10.613
2452807,"2003/06/16","Mon",0.0028021,0.218106,0.00149695,1.3392,0.84434,117.79,0.59467,1.3004,1.4983,7.7988,1.7167,1190.40,10.469
2452808,"2003/06/17","Tue",0.0027454,0.216347,0.00151463,1.3396,0.84667,118.19,0.59382,1.3050,1.4884,7.7988,1.7089,1184.44,10.483
2452809,"2003/06/18","Wed",0.0027908,0.219551,0.00151707,1.3342,0.85405,118.41,0.59541,1.3203,1.4864,7.7987,1.7120,1184.90,10.596
2452810,"2003/06/19","Thu",0.0027684,0.218950,0.00147945,1.3496,0.85618,118.73,0.59770,1.3244,1.4939,7.7990,1.7144,1198.58,10.474
2452811,"2003/06/20","Fri",0.0027963,0.219988,0.00151083,1.3592,0.86074,118.36,0.60075,1.3288,1.4969,7.7989,1.7110,1190.19,10.469
2452814,"2003/06/23","Mon",0.0028259,0.219839,0.00150556,1.3562,0.86581,117.57,0.59935,1.3264,1.5046,7.7987,1.7083,1190.69,10.465
2452815,"2003/06/24","Tue",0.0028789,0.222626,0.00150411,1.3610,0.86970,117.97,0.60219,1.3309,1.5087,7.7984,1.7077,1192.81,10.535
2452816,"2003/06/25","Wed",0.0028711,0.221665,0.00151013,1.3427,0.86253,117.51,0.59567,1.3259,1.4876,7.7984,1.7013,1187.18,10.472
2452817,"2003/06/26","Thu",0.0029094,0.221425,0.00153129,1.3539,0.87490,119.35,0.60088,1.3477,1.5038,7.7983,1.7158,1186.59,10.463
2452818,"2003/06/27","Fri",0.0028896,0.221043,0.00151457,1.3489,0.87483,119.62,0.60606,1.3511,1.5024,7.7978,1.7177,1194.77,10.417
2452821,"2003/06/30","Mon",0.0028785,0.220181,0.00150986,1.3553,0.86934,119.86,0.60499,1.3523,1.4895,7.7981,1.7035,1194.10,10.445
2452823,"2003/07/02","Wed",0.0028428,0.215005,0.00150099,1.3363,0.86784,118.63,0.60067,1.3475,1.4683,7.7982,1.6773,1186.77,10.473
2452824,"2003/07/03","Thu",0.0028506,0.213764,0.00149494,1.3365,0.86921,118.24,0.59793,1.3452,1.4639,7.7981,1.6761,1183.79,10.437
2452825,"2003/07/04","Fri",0.0028505,0.215137,0.00148867,1.3409,0.87004,118.12,0.59928,1.3478,1.4721,7.7983,1.6793,1180.37,10.399
2452828,"2003/07/07","Mon",0.0028703,0.213146,0.00149705,1.3484,0.88165,118.09,0.60545,1.3681,1.4690,7.7984,1.6682,1181.77,10.400
2452829,"2003/07/08","Tue",0.0029169,0.212413,0.00150910,1.3691,0.88753,118.55,0.61235,1.3757,1.5234,7.7987,1.6923,1180.26,10.533
2452830,"2003/07/09","Wed",0.0029050,0.209143,0.00149524,1.3749,0.88384,117.85,0.61333,1.3664,1.5275,7.7986,1.6924,1180.17,10.479
2452831,"2003/07/10","Thu",0.0028995,0.206985,0.00148683,1.3821,0.87797,117.69,0.61250,1.3615,1.5183,7.7990,1.6935,1178.26,10.458
2452832,"2003/07/11","Fri",0.0029027,0.207648,0.00148090,1.3761,0.88455,117.82,0.61258,1.3724,1.5120,7.7992,1.6872,1178.17,10.429
2452835,"2003/07/14","Mon",0.0028834,0.210171,0.00146708,1.3739,0.88496,117.54,0.61582,1.3723,1.5153,7.7996,1.6941,1176.28,10.389
2452836,"2003/07/15","Tue",0.0029109,0.214385,0.00146224,1.3929,0.89020,117.26,0.62507,1.3813,1.5344,7.7994,1.7137,1178.43,10.433
2452837,"2003/07/16","Wed",0.0029102,0.213717,0.00148455,1.3861,0.89207,118.28,0.62680,1.3761,1.5229,7.7994,1.7108,1178.66,10.395
2452838,"2003/07/17","Thu",0.0029198,0.214396,0.00147009,1.3971,0.89586,118.87,0.62930,1.3770,1.5341,7.7995,1.7178,1178.99,10.334
2452839,"2003/07/18","Fri",0.0028974,0.213162,0.00146093,1.4114,0.88946,118.38,0.63006,1.3674,1.5479,7.7993,1.7448,1185.06,10.369
2452842,"2003/07/21","Mon",0.0028451,0.210385,0.00147511,1.4052,0.88123,118.34,0.62437,1.3549,1.5346,7.7993,1.7389,1178.86,10.416
2452843,"2003/07/22","Tue",0.0028564,0.210455,0.00145616,1.4116,0.88291,119.32,0.62579,1.3622,1.5377,7.7994,1.7384,1183.24,10.439
2452844,"2003/07/23","Wed",0.0028049,0.203454,0.00145113,1.3991,0.87068,118.75,0.62130,1.3454,1.5137,7.7993,1.7222,1180.68,10.498
2452845,"2003/07/24","Thu",0.0027924,0.196663,0.00144956,1.3962,0.87421,119.24,0.62062,1.3515,1.5039,7.7990,1.7031,1179.22,10.532
2452846,"2003/07/25","Fri",0.0027596,0.199284,0.00145775,1.3812,0.86857,118.82,0.61730,1.3428,1.5054,7.7993,1.7012,1180.51,10.500
2452849,"2003/07/28","Mon",0.0027362,0.194158,0.00144410,1.3819,0.86967,119.42,0.61453,1.3461,1.5070,7.7991,1.7029,1184.15,10.457
2452850,"2003/07/29","Tue",0.0027684,0.195376,0.00144352,1.3855,0.87210,119.77,0.61611,1.3491,1.5025,7.7991,1.6894,1178.15,10.484
